場次,局數,背號,棒次,結果,打點,得分,盜壘,盜壘失敗,得點圈,備註
G01,1,3,1,GO,0,0,0,0,,
G01,1,14,2,SF,0,0,0,0,,
G01,1,23,3,2B,0,0,0,0,,
G01,1,21,4,FO,0,0,0,0,,
G01,2,7,5,1B,0,1,0,0,,
G01,2,17,6,1B,0,1,0,0,,
G01,2,1,7,SF,1,0,0,0,Y,
G01,2,8,8,2B,1,0,0,1,,
G01,2,11,9,GO,0,0,0,0,,
G01,2,28,10,DP,0,0,0,0,,
G01,3,3,1,HBP,0,0,0,0,,
G01,3,14,2,FC,0,0,0,0,,
G01,3,23,3,K,0,0,0,0,,
G01,3,21,4,1B,0,0,0,0,,
G01,3,7,5,FO,0,0,0,0,Y,
G01,4,17,6,SF,0,0,0,0,,
G01,4,1,7,FO,0,0,0,0,,
G01,4,8,8,DP,0,0,0,0,,
G01,5,11,9,E,0,1,0,0,,
G01,5,28,10,GO,0,0,0,0,,
G01,5,3,1,K,0,0,0,0,,
G01,5,14,2,1B,0,1,0,0,,
G01,5,23,3,3B,2,0,0,0,Y,
G01,5,21,4,1B,0,0,0,0,,
G01,5,7,5,LO,0,0,0,0,Y,
G01,6,17,6,K,0,0,0,0,,
G01,6,1,7,BB,0,1,1,0,,
G01,6,8,8,BB,0,0,0,0,,
G01,6,11,9,HBP,0,0,0,0,,
G01,6,28,10,1B,0,0,0,1,Y,
G01,6,3,1,2B,1,0,0,0,Y,
G01,6,14,2,1B,0,0,0,0,Y,
G01,6,23,3,FO,0,0,0,0,Y,
G01,6,21,4,FC,0,0,0,0,Y,
G01,7,7,5,K,0,0,0,0,,
G01,7,17,6,2B,0,1,0,0,,
G01,7,1,7,3B,1,0,0,0,,
G01,7,8,8,GO,0,0,0,0,,
G01,7,11,9,K,0,0,0,0,,
G01,8,28,10,BB,0,0,1,0,,
G01,8,3,1,FC,0,0,0,0,,
G01,8,14,2,GO,0,0,0,0,,
G01,8,23,3,FO,0,0,0,0,,
G02,1,28,1,1B,0,0,1,0,,
G02,1,14,2,FC,0,0,0,0,,
G02,1,7,3,GO,0,0,0,0,,
G02,1,5,4,HBP,0,0,0,0,,
G02,1,17,5,GO,0,0,0,0,Y,
G02,2,3,6,2B,0,0,0,0,,
G02,2,21,7,GO,0,0,1,0,,
G02,2,11,8,HBP,0,0,0,0,,
G02,2,9,9,1B,0,0,0,0,Y,
G02,2,1,10,DP,0,0,0,0,Y,
G02,3,28,1,GO,0,0,0,0,,
G02,3,14,2,FO,0,0,0,0,,
G02,3,7,3,2B,0,1,0,0,,
G02,3,5,4,3B,1,1,0,0,,
G02,3,17,5,HR,2,1,0,0,,
G02,3,3,6,HBP,0,0,0,0,,
G02,3,21,7,BB,0,0,0,0,,
G02,3,11,8,GO,0,0,0,0,Y,
G02,4,9,9,FO,0,0,0,0,,
G02,4,1,10,1B,0,0,0,0,,
G02,4,28,1,GO,0,0,0,0,,
G02,4,14,2,GO,0,0,0,0,,
G02,5,7,3,GO,0,0,0,0,,
G02,5,5,4,1B,0,1,0,0,,
G02,5,17,5,SF,1,0,0,0,,
G02,5,3,6,K,0,0,0,0,,
G02,6,21,7,BB,0,0,0,0,,
G02,6,11,8,DP,0,0,0,0,,
G02,6,9,9,1B,0,0,0,0,,
G02,6,1,10,1B,0,0,0,0,,
G02,6,28,1,BB,0,0,0,0,,
G02,6,14,2,K,0,0,0,0,Y,
G02,7,7,3,FO,0,0,0,0,,
G02,7,5,4,K,0,0,0,0,,
G02,7,17,5,FO,0,0,0,0,,
G03,1,17,1,2B,0,1,0,0,,
G03,1,9,2,3B,1,0,0,0,,
G03,1,5,3,FC,0,0,1,0,,
G03,1,14,4,E,0,0,0,0,,
G03,1,8,5,1B,0,0,1,0,Y,
G03,1,21,6,1B,0,0,0,0,Y,
G03,1,11,7,DP,0,0,0,0,Y,
G03,2,28,8,1B,0,0,0,0,,
G03,2,1,9,FC,0,0,0,0,,
G03,2,7,10,GO,0,0,0,0,,
G03,2,17,1,K,0,0,0,0,,
G03,3,9,2,FO,0,0,0,0,,
G03,3,5,3,K,0,0,0,0,,
G03,3,14,4,FO,0,0,0,0,,
G03,4,8,5,FC,0,0,0,0,,
G03,4,21,6,FC,0,0,0,0,,
G03,4,11,7,GO,0,0,0,0,,
G03,5,28,8,BB,0,1,0,0,,
G03,5,1,9,2B,1,1,0,0,,
G03,5,7,10,1B,0,0,0,0,,
G03,5,17,1,1B,0,0,0,0,Y,
G03,5,9,2,E,0,0,0,0,Y,
G03,5,5,3,GO,0,0,0,0,Y,
G03,5,14,4,1B,0,0,0,0,Y,
G03,5,8,5,GO,0,0,0,0,Y,
G03,5,21,6,BB,0,0,0,0,,
G03,6,11,7,E,0,0,0,0,,
G03,6,28,8,FO,0,0,0,0,,
G03,6,1,9,BB,0,1,1,0,,
G03,6,7,10,1B,0,1,0,0,Y,
G03,6,17,1,FC,0,1,0,0,Y,
G03,6,9,2,1B,0,1,0,0,Y,
G03,6,5,3,HR,5,1,0,0,Y,
G03,6,14,4,K,0,0,0,0,,
G03,7,8,5,SH,0,0,0,0,,
G03,7,21,6,SH,0,0,0,0,,
G03,7,11,7,FC,0,0,0,0,,
G04,1,28,1,K,0,0,0,0,,
G04,1,21,2,FO,0,0,0,0,,
G04,1,3,3,GO,0,0,0,0,,
G04,2,1,4,GO,0,0,0,0,,
G04,2,23,5,FC,0,0,0,0,,
G04,2,7,6,K,0,0,0,0,,
G04,3,17,7,K,0,0,0,0,,
G04,3,11,8,DP,0,0,0,0,,
G04,4,5,9,DP,0,0,0,0,,
G04,4,28,1,K,0,0,0,0,,
G04,5,21,2,BB,0,1,0,0,,
G04,5,3,3,1B,0,0,0,0,,
G04,5,1,4,K,0,0,0,0,Y,
G04,5,23,5,2B,1,0,0,0,Y,
G04,5,7,6,1B,0,0,0,0,Y,
G04,5,17,7,FO,0,0,0,0,Y,
G04,5,11,8,GO,0,0,0,0,Y,
G04,6,5,9,1B,0,0,0,0,,
G04,6,28,1,DP,0,0,0,0,,
G04,6,21,2,1B,0,1,0,0,,
G04,6,3,3,2B,1,0,0,0,,
G04,6,1,4,GO,0,0,0,0,,
G04,7,23,5,LO,0,0,0,0,,
G04,7,7,6,2B,0,1,0,0,,
G04,7,17,7,K,0,0,0,0,,
G04,7,11,8,BB,0,1,0,0,,
G04,7,5,9,HR,3,1,0,0,Y,
G04,7,28,1,1B,0,0,0,0,,
G04,7,21,2,GO,0,0,0,0,,
G05,1,5,1,GO,0,0,0,0,,
G05,1,1,2,FO,0,0,0,0,,
G05,1,28,3,BB,0,0,1,0,,
G05,1,11,4,K,0,0,0,0,,
G05,2,8,5,1B,0,0,0,0,,
G05,2,17,6,FC,0,1,0,0,,
G05,2,9,7,1B,0,1,0,0,,
G05,2,21,8,SF,1,0,0,0,Y,
G05,2,14,9,1B,0,0,0,0,,
G05,2,23,10,BB,0,0,0,0,,
G05,2,7,11,HBP,0,0,0,0,,
G05,2,5,1,K,0,0,0,0,Y,
G05,3,1,2,1B,0,1,0,0,,
G05,3,28,3,K,0,0,0,0,,
G05,3,11,4,1B,0,0,0,0,,
G05,3,8,5,LO,0,0,0,0,Y,
G05,3,17,6,2B,1,0,0,0,Y,
G05,3,9,7,FC,0,0,0,0,Y,
G05,4,21,8,SF,0,0,0,0,,
G05,4,14,9,GO,0,0,0,0,,
G05,4,23,10,1B,0,1,0,0,,
G05,4,7,11,2B,1,0,0,0,,
G05,4,5,1,GO,0,0,0,0,,
G05,5,1,2,2B,0,0,0,0,,
G05,5,28,3,FO,0,0,0,0,,
G05,5,11,4,1B,0,0,0,0,,
G05,5,8,5,BB,0,0,0,0,,
G05,5,17,6,1B,0,0,0,0,Y,
G05,5,9,7,GO,0,0,0,0,Y,
G05,5,21,8,FO,0,0,0,0,Y,
G05,6,14,9,SH,0,0,0,0,,
G05,6,23,10,GO,0,0,0,0,,
